date,cycle,scenario,month_in_cycle,pred
2035-02-01,26,medium,2,9.83656744501433
2035-03-01,26,medium,3,10.41690941540781
2035-04-01,26,medium,4,11.196394264456675
2035-05-01,26,medium,5,11.750537657309474
2035-06-01,26,medium,6,12.011020426964382
2035-07-01,26,medium,7,12.641047519968827
2035-08-01,26,medium,8,13.46841229888948
2035-09-01,26,medium,9,14.539102425278582
2035-10-01,26,medium,10,15.68700602006864
2035-11-01,26,medium,11,17.079941969855277
2035-12-01,26,medium,12,18.62323380303389
2036-01-01,26,medium,13,20.019768202768354
2036-02-01,26,medium,14,21.57515904084931
2036-03-01,26,medium,15,23.47683683788184
2036-04-01,26,medium,16,25.454835875256148
2036-05-01,26,medium,17,27.34087163024939
2036-06-01,26,medium,18,29.131544210415733
2036-07-01,26,medium,19,31.917710372465674
2036-08-01,26,medium,20,34.62167521940543
2036-09-01,26,medium,21,37.63978849992631
2036-10-01,26,medium,22,41.08645326329126
2036-11-01,26,medium,23,44.43108166701065
2036-12-01,26,medium,24,47.253039863347965
2037-01-01,26,medium,25,50.7705740929743
2037-02-01,26,medium,26,54.70645191640264
2037-03-01,26,medium,27,59.139902610248825
2037-04-01,26,medium,28,63.04134129160017
2037-05-01,26,medium,29,67.04595916503507
2037-06-01,26,medium,30,71.15478893989061
2037-07-01,26,medium,31,75.53360497406584
2037-08-01,26,medium,32,80.00513053399231
2037-09-01,26,medium,33,84.49150742602723
2037-10-01,26,medium,34,88.71124753453425
2037-11-01,26,medium,35,93.61051440407057
2037-12-01,26,medium,36,98.13834921219708
2038-01-01,26,medium,37,102.2726304111421
2038-02-01,26,medium,38,106.33789122475682
2038-03-01,26,medium,39,110.70348173467889
2038-04-01,26,medium,40,115.84197852569861
2038-05-01,26,medium,41,120.78551581020173
2038-06-01,26,medium,42,124.75467849010116
2038-07-01,26,medium,43,127.98177704598372
2038-08-01,26,medium,44,130.4806212746479
2038-09-01,26,medium,45,132.8404859064348
2038-10-01,26,medium,46,135.3298304983649
2038-11-01,26,medium,47,138.6211916540232
2038-12-01,26,medium,48,141.6764924073063
2039-01-01,26,medium,49,144.15309752274774
2039-02-01,26,medium,50,147.08760495233136
2039-03-01,26,medium,51,150.39380374353755
2039-04-01,26,medium,52,153.26040120442167
2039-05-01,26,medium,53,155.67747733197334
2039-06-01,26,medium,54,158.1792906083876
2039-07-01,26,medium,55,159.60419306547303
2039-08-01,26,medium,56,160.18181095863542
2039-09-01,26,medium,57,161.17240053268927
2039-10-01,26,medium,58,161.12792503785732
2039-11-01,26,medium,59,161.6163399056037
2039-12-01,26,medium,60,162.38440648818533
2040-01-01,26,medium,61,162.89608702004722
2040-02-01,26,medium,62,164.4887948163512
2040-03-01,26,medium,63,166.37276815177796
2040-04-01,26,medium,64,167.29420621953977
2040-05-01,26,medium,65,167.90849494763478
2040-06-01,26,medium,66,167.34540790026657
2040-07-01,26,medium,67,166.98108095474356
2040-08-01,26,medium,68,166.29434725515466
2040-09-01,26,medium,69,165.31187031835205
2040-10-01,26,medium,70,165.42007357136092
2040-11-01,26,medium,71,166.20555687051476
2040-12-01,26,medium,72,166.93853708838267
2041-01-01,26,medium,73,167.09038751082042
2041-02-01,26,medium,74,166.8155766510683
2041-03-01,26,medium,75,166.4723129345293
2041-04-01,26,medium,76,166.04248095852347
2041-05-01,26,medium,77,165.10716471282709
2041-06-01,26,medium,78,165.34973720174816
2041-07-01,26,medium,79,165.03595353176047
2041-08-01,26,medium,80,165.37383537439536
2041-09-01,26,medium,81,166.8224892838787
2041-10-01,26,medium,82,167.1871926800233
2041-11-01,26,medium,83,166.33673575117297
2041-12-01,26,medium,84,164.94417184074177
2042-01-01,26,medium,85,163.41397414992633
2042-02-01,26,medium,86,161.64846851826863
2042-03-01,26,medium,87,160.75162557019559
2042-04-01,26,medium,88,159.2637483041484
2042-05-01,26,medium,89,156.97669372464557
2042-06-01,26,medium,90,154.87278045646678
2042-07-01,26,medium,91,152.67378417650363
2042-08-01,26,medium,92,150.70021080098132
2042-09-01,26,medium,93,148.7824314584214
2042-10-01,26,medium,94,146.75119866720658
2042-11-01,26,medium,95,144.84852924889657
2042-12-01,26,medium,96,143.95613345042176
2043-01-01,26,medium,97,142.31360457035433
2043-02-01,26,medium,98,138.80288140095405
2043-03-01,26,medium,99,135.7217179890587
2043-04-01,26,medium,100,132.3614499441981
2043-05-01,26,medium,101,129.12742430596256
2043-06-01,26,medium,102,126.49111576455473
2043-07-01,26,medium,103,125.10828328124374
2043-08-01,26,medium,104,123.9828379935962
2043-09-01,26,medium,105,123.0212574485269
2043-10-01,26,medium,106,120.94742351252306
2043-11-01,26,medium,107,118.01091677016773
2043-12-01,26,medium,108,115.19749454632834
2044-01-01,26,medium,109,112.3771263023599
2044-02-01,26,medium,110,110.34695546130767
2044-03-01,26,medium,111,108.41059087770847
2044-04-01,26,medium,112,105.10631761516768
2044-05-01,26,medium,113,102.06518365845301
2044-06-01,26,medium,114,99.8914351663417
2044-07-01,26,medium,115,97.15974377771813
2044-08-01,26,medium,116,94.75791255243175
2044-09-01,26,medium,117,92.18861506798328
2044-10-01,26,medium,118,89.93995866205795
2044-11-01,26,medium,119,87.83913036393857
2044-12-01,26,medium,120,85.85048642435554
2045-01-01,26,medium,121,83.24516164744801
2045-02-01,26,medium,122,80.45196096710517
2045-03-01,26,medium,123,77.93315343763469
2045-04-01,26,medium,124,75.19110104574649
2045-05-01,26,medium,125,73.287833160547
2045-06-01,26,medium,126,71.43785068597275
2045-07-01,26,medium,127,69.50264092971265
2045-08-01,26,medium,128,67.76848049043662
2045-09-01,26,medium,129,66.03000134917806
2045-10-01,26,medium,130,63.941612789400644
2045-11-01,26,medium,131,61.20379674344232
2045-12-01,26,medium,132,58.85022667691446
2046-01-01,26,medium,133,56.569653844346405
2046-02-01,26,medium,134,55.1246802037835
2046-03-01,26,medium,135,53.97546472568354
2046-04-01,26,medium,136,52.86519148292372
2046-05-01,26,medium,137,51.37706336546171
2046-06-01,26,medium,138,49.98918640746297
2046-07-01,26,medium,139,48.54989126946666
2046-08-01,26,medium,140,46.828045229616066
2046-09-01,26,medium,141,45.01463927116919
2046-10-01,26,medium,142,43.45671086623836
2046-11-01,26,medium,143,42.10690334380603
2046-12-01,26,medium,144,40.22981834198506
2047-01-01,26,medium,145,38.261064775911755
2047-02-01,26,medium,146,36.37496717868215
2047-03-01,26,medium,147,35.414621504779866
2047-04-01,26,medium,148,34.684314208856556
2047-05-01,26,medium,149,33.793407805531174
2047-06-01,26,medium,150,32.75333646285516
2047-07-01,26,medium,151,31.632785680005043
2047-08-01,26,medium,152,30.329854010195483
2047-09-01,26,medium,153,28.986240297188
2047-10-01,26,medium,154,27.41786837832168
2047-11-01,26,medium,155,26.02645520745629
2047-12-01,26,medium,156,24.98142439035825
2048-01-01,26,medium,157,23.769047605319148
2048-02-01,26,medium,158,22.638137772751012
2048-03-01,26,medium,159,21.8216903917376
2048-04-01,26,medium,160,21.17942479853243
2048-05-01,26,medium,161,20.626848794836793
2048-06-01,26,medium,162,19.78297388257432
2048-07-01,26,medium,163,19.090652479434777
2048-08-01,26,medium,164,18.275999882298493
2048-09-01,26,medium,165,17.347765946132796
2048-10-01,26,medium,166,16.226505564694044
2048-11-01,26,medium,167,14.948073133761865
2048-12-01,26,medium,168,14.030514814565228
2049-01-01,26,medium,169,13.487307217339248
2049-02-01,26,medium,170,13.092921760873924
2049-03-01,26,medium,171,12.586857482108757
2049-04-01,26,medium,172,12.100757455456709
2049-05-01,26,medium,173,11.569222330797121
2049-06-01,26,medium,174,11.114559010208039
2049-07-01,26,medium,175,10.636041400136596
2049-08-01,26,medium,176,10.098842165009119
2049-09-01,26,medium,177,9.797686005979699
2049-10-01,26,medium,178,9.50896660732574
2049-11-01,26,medium,179,8.973987432618959
2034-12-01,26,strong,0,11.37941733245348
2035-01-01,26,strong,1,11.890479103286424
2035-02-01,26,strong,2,12.6157849617484
2035-03-01,26,strong,3,13.36009638376507
2035-04-01,26,strong,4,14.359816386856764
2035-05-01,26,strong,5,15.07052710187839
2035-06-01,26,strong,6,15.404606507786657
2035-07-01,26,strong,7,16.21264105539179
2035-08-01,26,strong,8,17.27376895332308
2035-09-01,26,strong,9,18.646971187811747
2035-10-01,26,strong,10,20.119202735009587
2035-11-01,26,strong,11,21.905697923115458
2035-12-01,26,strong,12,23.885030450385646
2036-01-01,26,strong,13,25.676140792201505
2036-02-01,26,strong,14,27.670990769532636
2036-03-01,26,strong,15,30.1099674032011
2036-04-01,26,strong,16,32.64682903197055
2036-05-01,26,strong,17,35.06574413097934
2036-06-01,26,strong,18,37.36235220432996
2036-07-01,26,strong,19,40.93571998375158
2036-08-01,26,strong,20,44.403661340714365
2036-09-01,26,strong,21,48.27451043010349
2036-10-01,26,strong,22,52.694993666040304
2036-11-01,26,strong,23,56.98461125410109
2036-12-01,26,strong,24,60.60388372643894
2037-01-01,26,strong,25,65.11525984261118
2037-02-01,26,strong,26,70.16317808580419
2037-03-01,26,strong,27,75.8492531221144
2037-04-01,26,strong,28,80.8530018099072
2037-05-01,26,strong,29,85.989081873165
2037-06-01,26,strong,30,91.25881780226491
2037-07-01,26,strong,31,96.8748217368702
2037-08-01,26,strong,32,102.60972928773403
2037-09-01,26,strong,33,108.36368425664514
2037-10-01,26,strong,34,113.77566705460501
2037-11-01,26,strong,35,120.0591696729514
2037-12-01,26,strong,36,125.8662960512284
2038-01-01,26,strong,37,131.1686744336107
2038-02-01,26,strong,38,136.38253145484023
2038-03-01,26,strong,39,141.98157313397203
2038-04-01,26,strong,40,148.57189754383475
2038-05-01,26,strong,41,154.91217871206766
2038-06-01,26,strong,42,160.0027860939332
2038-07-01,26,strong,43,164.14166702561616
2038-08-01,26,strong,44,167.34653311512906
2038-09-01,26,strong,45,170.3731524007569
2038-10-01,26,strong,46,173.56583483220805
2038-11-01,26,strong,47,177.78713507778127
2038-12-01,26,strong,48,181.70567856486164
2039-01-01,26,strong,49,184.88202211623042
2039-02-01,26,strong,50,188.64564341067336
2039-03-01,26,strong,51,192.88597350791582
2039-04-01,26,strong,52,196.56249759424617
2039-05-01,26,strong,53,199.6624928753056
2039-06-01,26,strong,54,202.87116688543367
2039-07-01,26,strong,55,204.6986603775022
2039-08-01,26,strong,56,205.43947806323752
2039-09-01,26,strong,57,206.70994818622208
2039-10-01,26,strong,58,206.65290661333563
2039-11-01,26,strong,59,207.27931790752467
2039-12-01,26,strong,60,208.2643935343955
2040-01-01,26,strong,61,208.92064395865856
2040-02-01,26,strong,62,210.96335440388154
2040-03-01,26,strong,63,213.37962436860983
2040-04-01,26,strong,64,214.5614049626466
2040-05-01,26,strong,65,215.34925443771937
2040-06-01,26,strong,66,214.62707313371743
2040-07-01,26,strong,67,214.1598094844636
2040-08-01,26,strong,68,213.27904648167544
2040-09-01,26,strong,69,212.0189811353171
2040-10-01,26,strong,70,212.15775606668947
2040-11-01,26,strong,71,213.16516931816798
2040-12-01,26,strong,72,214.1052453011293
2041-01-01,26,strong,73,214.2999994454519
2041-02-01,26,strong,74,213.94754369997298
2041-03-01,26,strong,75,213.50729447103882
2041-04-01,26,strong,76,212.95601804160495
2041-05-01,26,strong,77,211.75643813805675
2041-06-01,26,strong,78,212.06754690389107
2041-07-01,26,strong,79,211.66510699513213
2041-08-01,26,strong,80,212.09845375892843
2041-09-01,26,strong,81,213.95640942366603
2041-10-01,26,strong,82,214.4241558856609
2041-11-01,26,strong,83,213.3334113964293
2041-12-01,26,strong,84,211.547393363442
2042-01-01,26,strong,85,209.58485458919955
2042-02-01,26,strong,86,207.32052411800063
2042-03-01,26,strong,87,206.17028773314416
2042-04-01,26,strong,88,204.2620265695978
2042-05-01,26,strong,89,201.3287890421701
2042-06-01,26,strong,90,198.63043745581808
2042-07-01,26,strong,91,195.8101381639385
2042-08-01,26,strong,92,193.27895262070908
2042-09-01,26,strong,93,190.81932512106926
2042-10-01,26,strong,94,188.21418910746866
2042-11-01,26,strong,95,185.77394068047693
2042-12-01,26,strong,96,184.62940794004092
2043-01-01,26,strong,97,182.5227999936993
2043-02-01,26,strong,98,178.0201593303823
2043-03-01,26,strong,99,174.068445965556
2043-04-01,26,strong,100,169.75876992208185
2043-05-01,26,strong,101,165.61100473459868
2043-06-01,26,strong,102,162.22983525275072
2043-07-01,26,strong,103,160.45629815811975
2043-08-01,26,strong,104,159.0128702738967
2043-09-01,26,strong,105,157.7796053725165
2043-10-01,26,strong,106,155.11983171374274
2043-11-01,26,strong,107,151.35364622196775
2043-12-01,26,strong,108,147.7453214703745
2044-01-01,26,strong,109,144.12808817453774
2044-02-01,26,strong,110,141.524314153824
2044-03-01,26,strong,111,139.04085035094886
2044-04-01,26,strong,112,134.80298982001761
2044-05-01,26,strong,113,130.90261580720795
2044-06-01,26,strong,114,128.1146977971199
2044-07-01,26,strong,115,124.61119605900068
2044-08-01,26,strong,116,121.53075296520745
2044-09-01,26,strong,117,118.23552780177995
2044-10-01,26,strong,118,115.35153744349795
2044-11-01,26,strong,119,112.65714245268605
2044-12-01,26,strong,120,110.10662831780054
2045-01-01,26,strong,121,106.76519673359078
2045-02-01,26,strong,122,103.1828069075468
2045-03-01,26,strong,123,99.95233709890046
2045-04-01,26,strong,124,96.43554696623656
2045-05-01,26,strong,125,93.99453098190062
2045-06-01,26,strong,126,91.62185563425574
2045-07-01,26,strong,127,89.13987294290244
2045-08-01,26,strong,128,86.91574391482705
2045-09-01,26,strong,129,84.68607598145468
2045-10-01,26,strong,130,82.00763544475292
2045-11-01,26,strong,131,78.49627859250656
2045-12-01,26,strong,132,75.47773233460713
2046-01-01,26,strong,133,72.5528079027753
2046-02-01,26,strong,134,70.69957232780082
2046-03-01,26,strong,135,69.22565823861615
2046-04-01,26,strong,136,67.80168909920457
2046-05-01,26,strong,137,65.89310620884399
2046-06-01,26,strong,138,64.11309937685179
2046-07-01,26,strong,139,62.26714670495152
2046-08-01,26,strong,140,60.058811378891896
2046-09-01,26,strong,141,57.7330468530039
2046-10-01,26,strong,142,55.73494234629725
2046-11-01,26,strong,143,54.00376106401085
2046-12-01,26,strong,144,51.59632565828919
2047-01-01,26,strong,145,49.071321710408476
2047-02-01,26,strong,146,46.652327296297145
2047-03-01,26,strong,147,45.42064616579899
2047-04-01,26,strong,148,44.4839983104504
2047-05-01,26,strong,149,43.34137577792312
2047-06-01,26,strong,150,42.0074433388457
2047-07-01,26,strong,151,40.570292849696045
2047-08-01,26,strong,152,38.89923169365217
2047-09-01,26,strong,153,37.17599421577057
2047-10-01,26,strong,154,35.16449549133587
2047-11-01,26,strong,155,33.379953327140235
2047-12-01,26,strong,156,32.039660166888346
2048-01-01,26,strong,157,30.484739215228377
2048-02-01,26,strong,158,29.034302837034488
2048-03-01,26,strong,159,27.987176931679315
2048-04-01,26,strong,160,27.16344602580187
2048-05-01,26,strong,161,26.454745549074108
2048-06-01,26,strong,162,25.3724427552155
2048-07-01,26,strong,163,24.48451330266533
2048-08-01,26,strong,164,23.439689278283694
2048-09-01,26,strong,165,22.249192715501614
2048-10-01,26,strong,166,20.8111321382289
2048-11-01,26,strong,167,19.171492220450432
2048-12-01,26,strong,168,17.994687556673615
2049-01-01,26,strong,169,17.29800243002769
2049-02-01,26,strong,170,16.792187557246095
2049-03-01,26,strong,171,16.143140198661715
2049-04-01,26,strong,172,15.519697779299188
2049-05-01,26,strong,173,14.837983058203031
2049-06-01,26,strong,174,14.254859451862732
2049-07-01,26,strong,175,13.641141780244379
2049-08-01,26,strong,176,12.952162614507147
2049-09-01,26,strong,177,12.565917985630337
2049-10-01,26,strong,178,12.19562399150439
2049-11-01,26,strong,179,11.509492140648709
